UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   53955   Words
   42447   Misrecognized
   21.33%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       1        0   100.00   ana
       1        1     0.00   anagrammatizerade
       1        1     0.00   anatomizerandes
       4        3    25.00   anda
       2        2     0.00   andackt
       2        2     0.00   andades
       1        1     0.00   andakt
       3        3     0.00   andan
       1        0   100.00   andans
       1        1     0.00   andedrã
       1        1     0.00   andelig
       1        1     0.00   andeliga
       2        2     0.00   andelige
     102       80    21.57   andra
       8        8     0.00   andras
       1        1     0.00   andre
       1        1     0.00   andã
       1        1     0.00   anfall
       1        1     0.00   anfallen
       1        1     0.00   anfallne
       3        2    33.33   anfã
       1        1     0.00   ange
      10        8    20.00   angelã
       4        4     0.00   angenã
       1        1     0.00   angifwa
       1        1     0.00   angripa
      18       12    33.33   angã
       4        3    25.00   anledning
       2        2     0.00   anledningen
       1        1     0.00   anlete
       3        2    33.33   anleten
       1        1     0.00   anletens
       2        2     0.00   anletes
       1        1     0.00   anlopp
       1        1     0.00   anlã
       1        1     0.00   anmoda
       4        2    50.00   anmã
      28       20    28.57   annan
      76       59    22.37   annat
       1        1     0.00   annorledes
       3        3     0.00   annorlunda
       1        1     0.00   annors
       3        3     0.00   annorstã
       1        1     0.00   annã
       1        1     0.00   ans
       2        2     0.00   ansedd
       2        2     0.00   ansedde
       1        1     0.00   ansedt
       4        4     0.00   ansee
      18       18     0.00   anseende
       2        2     0.00   anseendet
       7        7     0.00   anseenlig
       1        1     0.00   anseenligare
       1        1     0.00   anseenligen
       1        1     0.00   anseenligit
       1        1     0.00   ansenlig
       1        1     0.00   ansenligen
       1        1     0.00   ansenligit
       3        3     0.00   anser
       2        2     0.00   anses
       1        1     0.00   ansickte
       1        1     0.00   ansicktet
       2        2     0.00   ansikte
       4        4     0.00   ansikten
       1        1     0.00   anstallt
       1        1     0.00   anstalt
       1        1     0.00   anstalter
       1        1     0.00   anstodo
      12       12     0.00   anstã
       1        1     0.00   ansã
       2        1    50.00   antaga
       1        1     0.00   antagit
       2        1    50.00   antahl
       1        1     0.00   ante
       1        1     0.00   antidote
      21       19     9.52   antingen
       1        1     0.00   antiquarier
       2        2     0.00   antog
       1        1     0.00   antropophager
       2        2     0.00   anwisning
       2        2     0.00   anwã
       2        1    50.00   apa
       2        2     0.00   apan
       1        1     0.00   apelles
       1        1     0.00   apor
       1        1     0.00   apoteket
       2        2     0.00   appetit
       1        1     0.00   april
       1        1     0.00   apspel
       1        1     0.00   arabien
       5        5     0.00   arbeta
       4        4     0.00   arbetade
       1        1     0.00   arbetades
       8        8     0.00   arbete
       3        3     0.00   arbeten
       1        0   100.00   arbetet
       1        1     0.00   arbetshus
       1        1     0.00   arbetz
       6        5    16.67   arck
       2        2     0.00   arf
       3        2    33.33   arfwingar
       2        2     0.00   arg
       3        2    33.33   argt
      49       49     0.00   argus
       3        3     0.00   aristoteles
       2        2     0.00   aristotelis
      16       11    31.25   ark
       4        4     0.00   arken
       1        0   100.00   arkens
      12        9    25.00   arket
       1        1     0.00   arks
       2        2     0.00   arktahls
       1        1     0.00   arktals
       3        2    33.33   arm
       3        3     0.00   arma
       1        1     0.00   armar
       2        2     0.00   armarne
       1        1     0.00   armeen
       1        1     0.00   armfã
       2        2     0.00   armod
       1        1     0.00   arrende
       2        1    50.00   arten
       1        1     0.00   arter
       3        2    33.33   artigt
       1        1     0.00   arts
       1        1     0.00   aset
       2        2     0.00   aslaug
       2        2     0.00   aslã
       1        1     0.00   aspelã
       4        4     0.00   assecurance
       4        4     0.00   assecurans
       2        2     0.00   assecurantz
       1        1     0.00   assuradeurerna
       1        1     0.00   atheist
       1        1     0.00   athenienserne
       1        1     0.00   atland
       1        1     0.00   atlantica
       5        5     0.00   att
       5        5     0.00   auctor
